Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,0.00%,3.44%,1.88%,-11.15%
High,0.00000273,0.00000273,0.00000282,0.00000309
Low,0.00000270,0.00000261,0.00000260,0.00000242
