Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,0.00%,-7.14%,0.00%,-27.78%
High,0.00000013,0.00000014,0.00000015,0.00000022
Low,0.00000013,0.00000013,0.00000012,0.00000010
