Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,-1.00%,2.73%,0.51%,-13.74%
High,0.00000801,0.00000801,0.00000822,0.00001781
Low,0.00000791,0.00000764,0.00000745,0.00000710
