Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,-0.56%,7.18%,34.15%,4.26%
High,0.00001441,0.00001581,0.00001581,0.00001791
Low,0.00001418,0.00001302,0.00001021,0.00001008
