Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,1.04%,1.45%,-3.21%,-20.24%
High,0.1753000,0.1799000,0.1853000,0.2369000
Low,0.1731000,0.1711000,0.1610000,0.1310000
