Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,-0.49%,4.58%,6.80%,-9.50%
High,0.00001216,0.00001221,0.00001280,0.00001674
Low,0.00001210,0.00001150,0.00001131,0.00001105
