Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,1.47%,2.99%,0.00%,-5.48%
High,0.0000069,0.0000069,0.0000076,0.0000129
Low,0.0000068,0.0000066,0.0000066,0.0000066
