Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,0.14%,2.04%,5.15%,-5.70%
High,0.00002806,0.00002832,0.00002895,0.00004357
Low,0.00002793,0.00002684,0.00002578,0.00002512
