Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,2.86%,2.86%,0.00%,-20.00%
High,0.00000036,0.00000037,0.00000037,0.00000046
Low,0.00000035,0.00000035,0.00000034,0.00000034
