Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,0.22%,5.15%,1.31%,-23.78%
High,0.0013960,0.0014360,0.0014830,0.0023880
Low,0.0013850,0.0013200,0.0012810,0.0012220
