Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,0.00%,0.00%,-5.94%,30.75%
High,0.00001250,0.00001490,0.00001490,0.00003892
Low,0.00001250,0.00001250,0.00001206,0.00000868
