Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,0.07%,2.08%,-0.47%,-10.01%
High,0.0000150,0.0000152,0.0000163,0.0000298
Low,0.0000146,0.0000143,0.0000142,0.0000140
