Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,-0.20%,1.65%,3.35%,-12.26%
High,0.00000495,0.00000516,0.00000521,0.00000720
Low,0.00000494,0.00000480,0.00000465,0.00000449
