Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,0.87%,0.47%,-1.19%,-41.94%
High,0.0004739,0.0004920,0.0005282,0.0008639
Low,0.0004687,0.0004638,0.0004243,0.0004243
