Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,0.00%,0.00%,3.13%,-8.33%
High,0.00000034,0.00000034,0.00000034,0.00000055
Low,0.00000033,0.00000032,0.00000031,0.00000030
