Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,1.22%,-3.12%,6.44%,-25.08%
High,0.00000248,0.00000259,0.00000271,0.00000348
Low,0.00000245,0.00000245,0.00000226,0.00000216
