Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,-4.25%,4.65%,5.25%,-10.30%
High,0.00000993,0.00000993,0.00000993,0.00001448
Low,0.00000923,0.00000868,0.00000852,0.00000830
