Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,-0.35%,-4.69%,-1.85%,-4.21%
High,0.00004564,0.00004801,0.00004992,0.00006599
Low,0.00004410,0.00004410,0.00004109,0.00003583
