Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,-0.50%,1.45%,4.32%,-11.10%
High,0.00001413,0.00001413,0.00001818,0.00002100
Low,0.00001402,0.00001378,0.00001327,0.00001298
