Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,-0.67%,-1.73%,-5.26%,-7.51%
High,0.00000756,0.00000761,0.00000817,0.00000957
Low,0.00000739,0.00000732,0.00000722,0.00000683
