Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,-0.55%,-0.55%,0.15%,17.17%
High,0.0000201,0.0000207,0.0000238,0.0000328
Low,0.0000200,0.0000199,0.0000198,0.0000160
