,Time,Open,High,Low,Close,Volume,HLC3,ESA,DE,CI,wt1,wt2,wtVwap,wtOversold,wtOverbought,wtCross,wtCrossUp,wtCrossDown,wtCrosslast,wtCrossUplast,wtCrossDownlast,Buy,Sell
0,2022-01-13 04:25:00,43657.93,43668.24,43629.75,43650.97,86704.04413891624,43649.65333333333,43649.65333333333,0.0,,,,,False,False,False,False,False,False,False,False,False,False
1,2022-01-13 04:30:00,43651.08,43656.06,43632.95,43634.93,54573.4131347767,43641.31333333333,43647.98533333333,1.3343999999997322,-333.33333333333337,-333.33333333333337,,,False,False,False,False,False,False,False,False,False,False
2,2022-01-13 04:35:00,43634.94,43699.41,43634.94,43695.16,65351.29317091975,43676.503333333334,43653.68893333334,5.630399999998918,270.1335606706456,-240.49227271733662,,,False,False,False,False,False,False,True,False,False,False
3,2022-01-13 04:40:00,43694.24,43709.09,43683.03,43700.0,54597.0952298861,43697.37333333333,43662.42581333334,11.49382399999653,202.70317926101023,-172.30835702836015,-248.71132102634337,76.40296399798322,True,False,False,True,False,False,True,False,False,False
4,2022-01-13 04:45:00,43700.0,43701.15,43626.0,43629.76,70390.4183463,43652.30333333334,43660.401317333344,10.81465599999868,-49.91981252113343,-153.47935018109447,-188.75999330893043,35.28064312783596,True,False,False,True,False,False,True,False,False,False
5,2022-01-13 04:50:00,43629.77,43630.28,43590.16,43630.28,56168.145287384,43616.90666666667,43651.70238720001,15.610868906667772,-148.59612979211795,-152.7280855058673,-159.50526423844065,6.777178732573333,True,False,False,True,False,False,True,False,False,False
6,2022-01-13 04:55:00,43635.13,43640.06,43615.94,43618.38,44758.5500224654,43624.793333333335,43646.320576426675,16.794143744002234,-85.45535642854946,-142.37843487858765,-149.52862352184982,7.150188643262169,True,False,False,True,False,False,True,False,False,False
7,2022-01-13 05:00:00,43618.37,43652.23,43610.29,43644.85,30206.666552884824,43635.79,43644.214461141346,15.120207223470807,-37.14438132068262,-126.18858048506381,-140.4317002898396,14.243119804775787,True,False,False,True,False,False,True,False,False,False
8,2022-01-13 05:05:00,43645.84,43645.84,43601.6,43619.97,38531.104163555,43622.47,43639.865568913076,15.575279561391524,-74.45802751943343,-118.23003387496684,-128.93234974620609,10.70231587123925,True,False,False,True,False,False,True,False,False,False
9,2022-01-13 05:10:00,43619.96,43619.96,43576.87,43587.72,28828.523296734,43594.85,43630.86245513046,19.662714675205542,-122.1006550564553,-118.82551405673429,-121.08137613892166,2.255862082187363,True,False,False,True,False,False,True,False,False,False
