,0,1,2,3,4,5
0,1642326300000,43125.49,43125.5,43116.98,43116.98,33474.18210233
1,1642326360000,43111.23,43116.78,43098.59,43101.85,19331.12425796
2,1642326420000,43101.86,43103.99,43098.59,43101.84,8383.4969523775
3,1642326480000,43101.85,43101.85,43100.14,43100.14,758.586709
4,1642326540000,43099.98,43103.99,43099.98,43103.99,3232.638632
5,1642326600000,43103.99,43103.99,43094.68,43094.68,6932.16170114
6,1642326660000,43098.69,43098.69,43064.6,43068.35,34087.4842842274
7,1642326720000,43065.62,43068.36,43051.4,43051.4,22464.824236
8,1642326780000,43051.4,43095.89,43051.4,43095.89,32418.00028846
9,1642326840000,43099.43,43103.99,43082.19,43096.63,9050.8948154759
10,1642326900000,43099.99,43099.99,43081.25,43081.25,42163.857364
11,1642326960000,43086.74,43086.74,43064.61,43064.61,51.699662
12,1642327020000,43064.61,43078.63,43064.61,43070.16,8876.7871946
13,1642327080000,43070.16,43070.16,43070.15,43070.15,380.884067301
14,1642327140000,43068.13,43079.99,43058.6,43075.07,30470.755341375
15,1642327200000,43080.0,43118.59,43079.99,43118.59,11449.23426919
16,1642327260000,43118.58,43120.15,43084.36,43084.36,28464.068958
17,1642327320000,43081.96,43113.37,43080.38,43113.37,12499.92343987025
18,1642327380000,43109.77,43109.77,43100.55,43109.76,41930.695752
19,1642327440000,43112.78,43135.08,43108.57,43135.08,40049.192469
20,1642327500000,43139.23,43165.98,43135.59,43156.02,30033.0276472
21,1642327560000,43156.02,43169.71,43156.02,43169.71,7239.18139
22,1642327620000,43176.12,43186.81,43170.61,43186.8,24941.10205288
23,1642327680000,43186.8,43189.79,43181.11,43189.75,21826.365005
24,1642327740000,43184.06,43184.06,43171.68,43171.69,9592.969857884
25,1642327800000,43171.68,43171.68,43168.63,43168.64,7109.1937275039
26,1642327860000,43170.0,43178.97,43170.0,43170.0,7149.060438176
27,1642327920000,43168.63,43172.68,43153.5,43169.56,3637.609136
28,1642327980000,43167.81,43167.82,43164.54,43167.82,1493.495332
29,1642328040000,43167.81,43167.81,43152.05,43154.26,13206.35734539875
30,1642328100000,43157.7,43169.99,43157.7,43169.99,2395.850889
31,1642328160000,43164.71,43170.0,43163.78,43170.0,12410.4933819
32,1642328220000,43170.0,43179.62,43157.22,43179.62,24519.999768
33,1642328280000,43185.35,43185.35,43178.1,43180.28,20638.4036409625
34,1642328340000,43182.91,43189.53,43182.16,43182.16,28526.672383
35,1642328400000,43182.17,43182.17,43157.34,43157.57,33456.454021
36,1642328460000,43156.04,43168.21,43151.15,43151.15,19359.615943
37,1642328520000,43156.04,43178.27,43153.84,43159.66,36216.20962993215
38,1642328580000,43173.75,43175.67,43155.61,43175.67,10397.06011475
39,1642328640000,43176.29,43184.89,43164.71,43181.86,36835.168089
40,1642328700000,43176.3,43185.53,43167.16,43185.53,7937.41578096
41,1642328760000,43185.52,43185.52,43170.72,43174.22,1693.90952488055
42,1642328820000,43171.69,43182.63,43171.69,43178.9,4093.6412582306
43,1642328880000,43182.62,43185.52,43181.18,43181.45,2064.253458
44,1642328940000,43181.44,43181.45,43175.65,43179.18,15056.065694
45,1642329000000,43181.22,43181.22,43125.78,43141.1,77120.6857001075
46,1642329060000,43136.37,43145.63,43129.18,43145.63,19058.99881
47,1642329120000,43141.11,43141.11,43118.84,43118.84,21083.469026
48,1642329180000,43118.93,43122.18,43102.18,43102.18,2013.604518
49,1642329240000,43112.45,43112.45,43103.28,43103.28,11518.791091
50,1642329300000,43105.61,43105.62,43093.12,43099.98,16419.8454631583
51,1642329360000,43102.95,43112.88,43100.8,43112.87,23473.4493032
52,1642329420000,43112.87,43119.11,43109.2,43118.59,23373.5869829
53,1642329480000,43118.6,43119.09,43116.64,43118.13,13162.7172002
54,1642329540000,43119.09,43139.46,43119.09,43134.51,38527.9965706448
55,1642329600000,43137.6,43152.04,43136.88,43149.21,16986.78349418
56,1642329660000,43149.21,43152.02,43138.26,43138.26,4202.538745
57,1642329720000,43133.08,43143.39,43130.82,43135.99,34022.49837497
58,1642329780000,43135.99,43136.0,43115.01,43119.07,15147.7198653714
59,1642329840000,43119.07,43122.46,43108.12,43111.63,26365.694388261
60,1642329900000,43111.64,43111.64,43086.36,43086.36,18331.452123
61,1642329960000,43084.21,43084.39,43072.92,43074.07,27065.185546
62,1642330020000,43076.13,43079.52,43073.95,43074.62,2353.1909437589
63,1642330080000,43073.07,43074.62,43070.33,43072.39,24016.60223942
64,1642330140000,43070.22,43079.52,43053.09,43076.63,22608.8607815
65,1642330200000,43076.63,43090.48,43076.63,43090.48,121602.746193
66,1642330260000,43090.47,43091.63,43078.24,43090.87,20092.160261
67,1642330320000,43090.49,43090.49,43075.01,43077.16,7652.747824523
68,1642330380000,43079.15,43079.15,43052.9,43059.22,12449.323969
69,1642330440000,43056.58,43056.58,43028.83,43028.83,15044.472917
70,1642330500000,43024.58,43043.21,42991.55,42992.99,30237.828233
71,1642330560000,42996.23,43006.45,42983.07,43002.92,9133.08988463805
72,1642330620000,43004.19,43007.36,42979.94,42979.95,13703.828715
73,1642330680000,42979.96,42981.44,42947.25,42956.97,59089.092613
74,1642330740000,42952.73,42952.74,42888.53,42914.48,208877.6660335346
75,1642330800000,42914.48,42914.48,42861.49,42861.91,163556.32521950235
76,1642330860000,42861.48,42863.05,42762.35,42815.83,191956.4332861733
77,1642330920000,42813.33,42884.53,42800.92,42884.53,56665.51565532
78,1642330980000,42896.88,42897.05,42877.04,42891.13,166367.46244412
79,1642331040000,42904.28,42918.38,42904.28,42918.38,22909.8101845
80,1642331100000,42912.37,42912.37,42851.43,42851.43,58668.137697
81,1642331160000,42850.0,42857.59,42820.5,42857.59,50262.160616
82,1642331220000,42870.28,42888.96,42864.3,42871.74,31048.184152
83,1642331280000,42863.83,42894.7,42863.83,42881.15,3485.5829
84,1642331340000,42882.96,42900.0,42882.96,42900.0,1209.89209835
85,1642331400000,42900.0,42900.0,42830.45,42852.99,70750.33105528985
86,1642331460000,42852.26,42852.26,42836.85,42838.73,17514.958312
87,1642331520000,42836.97,42875.38,42811.71,42862.3,113066.590101581
88,1642331580000,42859.12,42874.35,42851.84,42855.87,39280.613803
89,1642331640000,42855.86,42865.96,42849.94,42849.95,10095.19483445
90,1642331700000,42845.85,42862.78,42845.8,42852.8,8936.8110389224
91,1642331760000,42854.23,42861.69,42837.42,42841.96,15183.053394
92,1642331820000,42827.48,42827.48,42803.29,42808.64,70936.4573618808
93,1642331880000,42808.63,42846.63,42799.48,42846.62,75907.148177
94,1642331940000,42842.92,42891.15,42841.4,42891.15,59842.694922
95,1642332000000,42891.15,42891.15,42869.1,42883.93,70420.783542267
96,1642332060000,42897.24,42954.52,42897.24,42947.62,32687.6485371
97,1642332120000,42947.62,42952.59,42947.61,42947.61,16393.08838539
98,1642332180000,42947.61,42986.23,42947.61,42966.09,42829.314430612
99,1642332240000,42966.69,42989.86,42966.69,42985.48,82972.7555555919
100,1642332300000,42985.48,42985.48,42960.46,42960.46,5052.896164
