Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,-0.04%,0.04%,0.61%,-19.95%
High,0.00002658,0.00002754,0.00002785,0.00003353
Low,0.00002636,0.00002604,0.00002584,0.00002561
