Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,-0.07%,0.22%,-4.15%,6.64%
High,0.00002749,0.00002769,0.00002916,0.00003588
Low,0.00002747,0.00002542,0.00002542,0.00002500
