Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,2.79%,5.12%,14.71%,-6.52%
High,0.00006527,0.00006699,0.00006699,0.00009965
Low,0.00006350,0.00006095,0.00005605,0.00005450
