Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,-0.23%,1.90%,3.13%,-4.04%
High,0.00000429,0.00000445,0.00000465,0.00000467
Low,0.00000421,0.00000418,0.00000411,0.00000410
