Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,0.00%,2.28%,-1.38%,-22.82%
High,0.0000719,0.0000746,0.0000750,0.0000954
Low,0.0000714,0.0000701,0.0000679,0.0000679
