Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,-1.62%,-6.95%,49.46%,248.01%
High,0.00003831,0.00004118,0.00005950,0.00009980
Low,0.00003762,0.00003721,0.00002495,0.00001016
