Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,0.40%,2.01%,6.19%,-20.01%
High,0.00002558,0.00002558,0.00002900,0.00003770
Low,0.00002513,0.00002459,0.00002363,0.00002166
