Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,1.66%,1.40%,1.29%,-36.23%
High,0.0083090,0.0085500,0.0085500,0.0144670
Low,0.0081680,0.0080480,0.0067510,0.0025000
