Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,-1.45%,9.68%,9.68%,-10.53%
High,0.00000069,0.00000070,0.00000070,0.00000080
Low,0.00000067,0.00000062,0.00000060,0.00000053
