Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,-1.31%,2.03%,2.38%,-2.27%
High,0.00000305,0.00000306,0.00000381,0.00000643
Low,0.00000301,0.00000295,0.00000291,0.00000281
