Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,0.71%,-0.85%,2.36%,-14.65%
High,2439.9600,2546.4500,2546.4500,3450.0000
Low,2418.9900,2396.5800,2208.8200,2164.5300
