Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,1.82%,10.09%,5.44%,-17.98%
High,0.00009630,0.00009630,0.00009630,0.00012940
Low,0.00009310,0.00008610,0.00008350,0.00008230
