Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,0.04%,1.69%,1.07%,-18.69%
High,0.0000499,0.0000506,0.0000513,0.0000805
Low,0.0000497,0.0000486,0.0000464,0.0000462
