Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,-1.62%,-5.72%,-12.12%,397.05%
High,0.00001542,0.00001618,0.00001900,0.00003100
Low,0.00001501,0.00001501,0.00001411,0.00000283
