Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,0.00%,2.74%,-0.66%,-5.06%
High,0.00000150,0.00000150,0.00000156,0.00000207
Low,0.00000148,0.00000145,0.00000144,0.00000138
