Stats,1 Hour,24 Hours,7 Days,30 Days
Change %,0.00%,1.37%,4.23%,-21.28%
High,0.00000075,0.00000075,0.00000075,0.00000109
Low,0.00000074,0.00000071,0.00000068,0.00000067
